	t	protein
576	5770	44360766.226906
577	5780	44429471.4802618
578	5790	44498128.573868
579	5800	44566737.6007509
580	5810	44635298.6536694
581	5820	44703811.8251152
582	5830	44772277.2073145
583	5840	44840694.8922278
584	5850	44909064.9715514
585	5860	44977387.5367181
586	5870	45045662.6788976
587	5880	45113890.4889978
588	5890	45182071.0576652
589	5900	45250204.4752859
590	5910	45318290.8319867
591	5920	45386330.2176351
592	5930	45454322.7218411
593	5940	45522268.433957
594	5950	45590167.4430788
595	5960	45658019.838047
596	5970	45725825.7074474
597	5980	45793585.1396114
598	5990	45861298.2226174
599	6000	45928965.0442914
600	6010	45996585.6922075
601	6020	46064160.2536894
602	6030	46131688.8158103
603	6040	46199171.4653944
604	6050	46266608.2890175
605	6060	46333999.3730074
606	6070	46401344.8034452
607	6080	46468644.6661661
608	6090	46535899.0467597
609	6100	46603108.0305712
610	6110	46670271.7027021
611	6120	46737390.148011
612	6130	46804463.4511143
613	6140	46871491.6963868
614	6150	46938474.9679632
615	6160	47005413.349738
616	6170	47072306.9253666
617	6180	47139155.7782664
618	6190	47205959.9916173
619	6200	47272719.6483624
620	6210	47339434.831209
621	6220	47406105.622629
622	6230	47472732.1048601
623	6240	47539314.3599064
624	6250	47605852.4695392
625	6260	47672346.5152974
626	6270	47738796.5784891
627	6280	47805202.7401914
628	6290	47871565.0812519
629	6300	47937883.6822889
630	6310	48004158.6236927
631	6320	48070389.9856259
632	6330	48136577.8480246
633	6340	48202722.2905985
634	6350	48268823.3928324
635	6360	48334881.2339865
636	6370	48400895.8930973
637	6380	48466867.4489781
638	6390	48532795.98022
639	6400	48598681.5651928
640	6410	48664524.2820453
641	6420	48730324.2087065
642	6430	48796081.4228858
643	6440	48861796.0020742
644	6450	48927468.023545
645	6460	48993097.5643541
646	6470	49058684.7013414
647	6480	49124229.5111309
648	6490	49189732.0701318
649	6500	49255192.454539
650	6510	49320610.7403341
651	6520	49385987.0032858
652	6530	49451321.318951
653	6540	49516613.7626751
654	6550	49581864.4095929
655	6560	49647073.3346296
656	6570	49712240.6125008
657	6580	49777366.3177139
658	6590	49842450.5245686
659	6600	49907493.3071575
660	6610	49972494.7393667
661	6620	50037454.8948768
662	6630	50102373.8471635
663	6640	50167251.6694981
664	6650	50232088.4349485
665	6660	50296884.2163796
666	6670	50361639.0864543
667	6680	50426353.1176339
668	6690	50491026.3821787
669	6700	50555658.9521494
670	6710	50620250.8994069
671	6720	50684802.2956132
672	6730	50749313.2122325
673	6740	50813783.7205318
674	6750	50878213.8915808
675	6760	50942603.7962536
676	6770	51006953.5052287
677	6780	51071263.0889899
678	6790	51135532.6178271
679	6800	51199762.1618367
680	6810	51263951.7909224
681	6820	51328101.5747958
682	6830	51392211.5829769
683	6840	51456281.8847954
684	6850	51520312.5493904
685	6860	51584303.6457119
686	6870	51648255.2425209
687	6880	51712167.4083903
688	6890	51776040.2117055
689	6900	51839873.7206648
690	6910	51903668.0032806
691	6920	51967423.1273795
692	6930	52031139.160603
693	6940	52094816.1704087
694	6950	52158454.2240702
695	6960	52222053.388678
696	6970	52285613.7311402
697	6980	52349135.318183
698	6990	52412618.2163516
699	7000	52476062.4920105
700	7010	52539468.2113441
701	7020	52602835.4403578
702	7030	52666164.2448778
703	7040	52729454.6905526
704	7050	52792706.842853
705	7060	52855920.7670729
706	7070	52919096.5283298
707	7080	52982234.1915658
708	7090	53045333.8215476
709	7100	53108395.4828676
710	7110	53171419.2399442
711	7120	53234405.1570225
712	7130	53297353.298175
713	7140	53360263.7273019
714	7150	53423136.5081319
715	7160	53485971.7042229
716	7170	53548769.3789623
717	7180	53611529.5955678
718	7190	53674252.417088
719	7200	53736937.9064025
720	7210	53799586.1262232
721	7220	53862197.1390945
722	7230	53924771.0073939
723	7240	53987307.7933322
724	7250	54049807.5589551
725	7260	54112270.3661425
726	7270	54174696.2766101
727	7280	54237085.3519092
728	7290	54299437.6534279
729	7300	54361753.242391
730	7310	54424032.1798613
731	7320	54486274.5267393
732	7330	54548480.3437647
733	7340	54610649.691516
734	7350	54672782.630412
735	7360	54734879.2207112
736	7370	54796939.5225137
737	7380	54858963.5957605
738	7390	54920951.5002348
739	7400	54982903.2955624
740	7410	55044819.0412118
741	7420	55106698.7964956
742	7430	55168542.6205701
743	7440	55230350.5724363
744	7450	55292122.7109406
745	7460	55353859.0947749
746	7470	55415559.7824773
747	7480	55477224.8324328
748	7490	55538854.3028735
749	7500	55600448.2518794
750	7510	55662006.7373787
751	7520	55723529.8171486
752	7530	55785017.5488153
753	7540	55846469.9898549
754	7550	55907887.1975943
755	7560	55969269.2292107
756	7570	56030616.1417328
757	7580	56091927.9920414
758	7590	56153204.8368693
759	7600	56214446.7328025
760	7610	56275653.73628
761	7620	56336825.9035948
762	7630	56397963.2908944
763	7640	56459065.9541809
764	7650	56520133.9493118
765	7660	56581167.3320005
766	7670	56642166.1578165
767	7680	56703130.4821862
768	7690	56764060.3603935
769	7700	56824955.8475795
